Title,Hammer_Price,Low_Estimate_price,High_Estimate_price,Signature,Size,created_date,Medium,Auction_Lot,Auction_House,Auction_Date,sold_status,height,width
CHAMP D'IRIS À GIVERNY,4066600,3000000,5000000,Stamped,46.05 x 99.39,1887,Oil / Canvas,40,Sotheby's New York,"11/14/2017
                ",sold,99.39,46.05
"LES ARCEAUX DE ROSES, GIVERNY",19421000,18000000,25000000,Signed Lower Left,81.61 x 93.68,1913,Oil / Canvas,43,Sotheby's New York,"11/14/2017
                ",sold,93.68,81.61
Nymphéas ,672500,250000,350000,Unavailable,56.21 x 39.07,nogiven,Oil / Canvas,363,"Christie's New York, Rockefeller Center","11/14/2017
                ",sold,39.07,56.21
La Plaine de Gennevilliers,1212500,1000000,1500000,Signed Lower Right,49.86 x 60.96,1877,Oil / Canvas,441,"Christie's New York, Rockefeller Center","11/14/2017
                ",sold,60.96,49.86
La Pointe du Petit Ailly,7062500,6000000,8000000,Signed and Dated,73.36 x 92.71,1897,Oil / Canvas,24A,"Christie's New York, Rockefeller Center","11/13/2017
                ",sold,92.71,73.36
Matinée sur la Seine,23375000,15000000,25000000,Signed and Dated,89.23 x 92.41,1897,Oil / Canvas,26A,"Christie's New York, Rockefeller Center","11/13/2017
                ",sold,92.41,89.23
Le Rio de la Salute,8187500,7000000,10000000,Signed and Dated,81.28 x 64.77,1908,Oil / Canvas,42A,"Christie's New York, Rockefeller Center","11/13/2017
                ",sold,64.77,81.28
Coucher de soleil à Lavacourt,0,5000000,7000000,Signed and Dated,53.98 x 80.98,1880,Oil / Canvas,53A,"Christie's New York, Rockefeller Center","11/13/2017
                ",not sold,80.98,53.98
MARINE,0,1180500,1770750,Stamped,54.30 x 65.30,1882,Oil / Canvas,14,Sotheby's Paris,"10/19/2017
                ",not sold,65.3,54.3
NYMPHEAS ,3515710,0,0,Unavailable,49.00 x 108.00,nogiven,Oil / Canvas,8,"Tajan, Paris","06/28/2017
                ",sold,108.0,49.0
Le chemin creux,7200790,2547600,3821400,Signed and Dated,60.00 x 73.50,1882,Oil / Canvas,13,"Christie's London, King Street","06/27/2017
                ",sold,73.5,60.0
Saule pleureur,11338090,19107000,31845000,Stamped,130.50 x 110.20,1918-19,Oil / Canvas,14,"Christie's London, King Street","06/27/2017
                ",sold,110.2,130.5
La Seine et les côteaux de Chantemesle,2299210,1528560,2292840,Stamped,54.00 x 80.20,1880,Oil / Canvas,28,"Christie's London, King Street","06/27/2017
                ",sold,80.2,54.0
Le phare de l'hospice à Honfleur,0,16790,22390,Signed Lower Left,17.50 x 28.50,nogiven,Ink / Paper,132,Joron-Derem,"06/23/2017
                ",not sold,28.5,17.5
"Beach and Cliffs at Pourville, 1882",4743010,2238800,3358200,Signed and Dated,60.00 x 73.00,1882,Oil / Canvas,10,Pierre Berge,"06/21/2017
                ",sold,73.0,60.0
"Sainte-Adresse, vue sur le Perrey",0,87250,130870,Signed Lower Left,15.50 x 30.80,nogiven,Pastel / Paper,49,De Baecque & Associés,"05/19/2017
                ",not sold,30.8,15.5
YPORT ET FALAISE D'AVAL,0,300000,700000,Stamped,19.69 x 40.34,1861,Pastel  heightened with gouache / Paper,382,Sotheby's New York,"05/17/2017
                ",not sold,40.34,19.69
