Title,Hammer_Price,Low_Estimate_price,High_Estimate_price,Signature,Size,created_date,Medium,Auction_Lot,Auction_House,Auction_Date,sold_status,height,width
Le Village De La Roche-Blond Au Soleil Couchant,912000,800000,1200000,Signed Lower Right,73.99 x 93.04,1889,Oil / Canvas,11,Sotheby's New York,"05/03/2006
                ",sold,93.04,73.99
"Nymphéas, temps gris",11216000,10000000,15000000,Signed and Dated,100.03 x 73.03,1907,Oil / Canvas,11,"Christie's New York, Rockefeller Center","05/02/2006
                ",sold,73.03,100.03
L'ESTUAIRE DE LA SEINE,248830,209690,314530,Signed Lower Left,23.70 x 36.20,nogiven,Pastel / Paper,107,"Sotheby's London, New Bond Street","02/08/2006
                ",sold,36.2,23.7
PHILIBERT AUDEBRAND,15730,12230,15730,Unavailable,31.50 x 21.50,nogiven,Pencil / Paper,114,"Sotheby's London, New Bond Street","02/08/2006
                ",sold,21.5,31.5
FRÉDÉRIC THOMAS,22020,12230,15730,Inscribed,34.00 x 25.00,nogiven,Mixed Media / Paper,116,"Sotheby's London, New Bond Street","02/08/2006
                ",sold,25.0,34.0
WATERLOO BRIDGE,0,4391750,6148450,Signed Lower Left,65.00 x 100.00,nogiven,Oil / Canvas,45,"Sotheby's London, New Bond Street","02/07/2006
                ",not sold,100.0,65.0
La Seine à Vétheuil,4401220,2448750,3265000,Signed and Dated,73.70 x 100.50,1881,Oil / Canvas,57,"Christie's London, King Street","02/06/2006
                ",sold,100.5,73.7
La Plaine de Gennevilliers,744420,408130,571380,Signed Lower Right,50.00 x 61.00,1877,Oil / Canvas,75,"Christie's London, King Street","02/06/2006
                ",sold,61.0,50.0
La Seine et les côteaux de Chantemesle,927260,489750,653000,Stamped,54.00 x 81.00,1880,Oil / Canvas,77,"Christie's London, King Street","02/06/2006
                ",sold,81.0,54.0
LE PONT JAPONAIS,5168000,1500000,2000000,Unsigned,88.90 x 116.21,nogiven,Oil / Canvas,10,Sotheby's New York,"11/02/2005
                ",sold,116.21,88.9
LE GRAND CANAL,12896000,12000000,16000000,Signed and Dated,73.03 x 92.08,1908,Oil / Canvas,12,Sotheby's New York,"11/02/2005
                ",sold,92.08,73.03
"LE FJORD, PRÈS CHRISTIANIA",1360000,800000,1200000,Signed and Dated,65.41 x 100.33,1895,Oil / Canvas,47,Sotheby's New York,"11/02/2005
                ",sold,100.33,65.41
LE PETIT BRAS DE LA SEINE À ARGENTEUIL,1472000,1200000,1800000,Signed Lower Right,54.94 x 73.66,1876,Oil / Canvas,54,Sotheby's New York,"11/02/2005
                ",sold,73.66,54.94
"LES MAISONS DANS LA NEIGE, NORVÈGE",1416000,600000,800000,Signed and Dated,66.04 x 92.71,1895,Oil / Canvas,57,Sotheby's New York,"11/02/2005
                ",sold,92.71,66.04
Le panier de pommes,2928000,900000,1400000,Signed and Dated,64.77 x 81.28,1880,Oil / Canvas,1,"Christie's New York, Rockefeller Center","11/01/2005
                ",sold,81.28,64.77
Nymphéas,14016000,10000000,15000000,Signed and Dated,100.33 x 100.33,1907,Oil / Canvas,22,"Christie's New York, Rockefeller Center","11/01/2005
                ",sold,100.33,100.33
"Aiguille d'Etretat, marée basse",1920000,700000,1000000,Signed and Dated,60.33 x 80.98,1883,Oil / Canvas,58,"Christie's New York, Rockefeller Center","11/01/2005
                ",sold,80.98,60.33
Prunes et abricots,363050,223920,298560,Signed Lower Left,18.40 x 38.70,1882-85,Oil / Canvas,119,"Christie's London, King Street","06/22/2005
                ",sold,38.7,18.4
"WATERLOO BRIDGE, BROUILLARD",0,118510,154970,Unavailable,31.50 x 47.30,1901,Pastel / Paper,115,"Sotheby's London, New Bond Street","06/21/2005
                ",not sold,47.3,31.5
LES PEUPLIERS,0,915000,1281000,Stamped,65.00 x 81.00,1890,Oil / Canvas,10,"Sotheby's London, New Bond Street","06/20/2005
                ",not sold,81.0,65.0
"La Seine près de Vétheuil, temps orageux",1113600,800000,1000000,Signed and Dated,60.33 x 100.33,1878,Oil / Canvas,14,"Christie's New York, Rockefeller Center","05/04/2005
                ",sold,100.33,60.33
Le Givre,3040000,1500000,2000000,Signed Lower Right,49.86 x 60.96,1875,Oil / Canvas,17,"Christie's New York, Rockefeller Center","05/04/2005
                ",sold,60.96,49.86
"Vétheuil, après-midi",6624000,7000000,10000000,Signed and Dated,88.90 x 91.77,1901,Oil / Canvas,18,"Christie's New York, Rockefeller Center","05/04/2005
                ",sold,91.77,88.9
"Bouquet de glaïeuls, lis et marguerites",2704000,2500000,3500000,Signed and Dated,82.88 x 62.23,1878,Oil / Canvas,20,"Christie's New York, Rockefeller Center","05/04/2005
                ",sold,62.23,82.88
Bords de la Seine en automne,1808000,700000,1000000,Signed Lower Right,54.94 x 73.66,1876,Oil / Canvas,25,"Christie's New York, Rockefeller Center","05/04/2005
                ",sold,73.66,54.94
"Leicester Square, la nuit",800000,700000,900000,Stamped,80.01 x 64.14,1900-01,Oil / Canvas,58,"Christie's New York, Rockefeller Center","05/04/2005
                ",sold,64.14,80.01
LES BORDS DE LA SEINE A ARGENTEUIL,4832000,4000000,6000000,Signed Lower Left,55.25 x 73.66,1872,Oil / Canvas,5,Sotheby's New York,"05/03/2005
                ",sold,73.66,55.25
"LA MANNEPORTE, MAREE HAUTE",2592000,900000,1200000,Signed and Dated,66.04 x 81.92,1885,Oil / Canvas,6,Sotheby's New York,"05/03/2005
                ",sold,81.92,66.04
"EGLISE DE VARENGEVILLE, EFFET MATINAL",1024000,1000000,1500000,Signed Lower Left,60.33 x 73.03,1882,Oil / Canvas,43,Sotheby's New York,"05/03/2005
                ",sold,73.03,60.33
"LA SEINE À PORT-VILLEZ, TEMPS CLAIR",638090,370980,556470,Stamped,60.20 x 81.40,1894,Oil / Canvas,419,"Sotheby's London, New Bond Street","02/09/2005
                ",sold,81.4,60.2
VAL DE FALAISE EN HIVER,742960,742960,1114440,Signed and Dated,63.50 x 79.00,1885,Oil / Canvas,34,"Sotheby's London, New Bond Street","02/08/2005
                ",sold,79.0,63.5
Hameau de falaise près Giverny,593010,522480,671760,Signed and Dated,60.70 x 81.30,1885,Oil / Canvas,117,"Christie's London, King Street","06/23/2004
                ",sold,81.3,60.7
Plage de Juan-les-Pins,3936890,2687040,3582720,Signed and Dated,73.00 x 92.00,1888,Oil / Canvas,12,"Christie's London, King Street","06/22/2004
                ",sold,92.0,73.0
La route de Giverny,643170,447840,597120,Signed Lower Left,65.00 x 80.00,nogiven,Oil / Canvas,23,"Christie's London, King Street","06/22/2004
                ",sold,80.0,65.0
BATEAUX SUR LE GALET,4488000,2500000,3500000,Signed and Dated,28.75 x 36.25,1884,Oil / Canvas,9,Sotheby's New York,"05/05/2004
                ",sold,36.25,28.75
Waterloo bridge,69460,0,115770,Unavailable,31.00 x 47.00,1901,Pastel / Paper,414,"Christie's London, King Street","02/06/2003
                ",sold,47.0,31.0
L'aiguille vue a travers la porte d'amont,264620,330780,496170,Signed,66.00 x 38.00,1885,Oil / Panel,123,"Sotheby's London, New Bond Street","06/25/2002
                ",sold,38.0,66.0
"Le pont de Waterloo, Londres",421740,165390,248090,Signed,31.00 x 48.00,1899,Pastel / Paper,25,"Christie's London, King Street","04/09/2002
                ",sold,48.0,31.0
"Etretat, le Cap d'Antifer",85000,60000,80000,Signed,27.00 x 35.00,nogiven,Pastel / Paper on board,405,"Christie's New York, Rockefeller Center","11/07/2001
                ",sold,35.0,27.0
"Chemin creux, Pourville",50000,40000,60000,Signed,21.00 x 32.00,nogiven,Pastel / Paper on board,408,"Christie's New York, Rockefeller Center","11/07/2001
                ",sold,32.0,21.0
"Chaloupe, picteux, remorqueur et caique. Deux bateaux a voile. Plattes, canot, sloop, brick",38040,19850,23150,Unavailable,23.00 x 31.00,1857,Pencil / Paper,403,"Christie's London, King Street","06/28/2001
                ",sold,31.0,23.0
Falaise a Ste.Adresse. Allee forestiere a Gournay,102540,19850,23150,Inscribed,23.00 x 31.00,1857,Pencil / Paper,404,"Christie's London, King Street","06/28/2001
                ",sold,31.0,23.0
Ecossais a la pipe,19850,19850,23150,Unavailable,48.00 x 29.00,1857,Pastel / Paper,407,"Christie's London, King Street","06/28/2001
                ",sold,29.0,48.0
Jeune homme a la chavalure romantique,29770,19850,23150,Signed,48.00 x 29.00,1857,Pencil / Paper,408,"Christie's London, King Street","06/28/2001
                ",sold,29.0,48.0
Baigneur au chapeau,15710,9920,13230,Unavailable,31.00 x 23.00,1857,Pencil / Card,410,"Christie's London, King Street","06/28/2001
                ",sold,23.0,31.0
"Honfleur, la greve en aval",62850,41350,57890,Unavailable,32.00 x 49.00,nogiven,Charcoal,419,"Christie's London, King Street","02/08/2001
                ",sold,49.0,32.0
"Meule, soleil couchant",215010,115770,165390,Signed,12.00 x 19.00,1909,Paper / Paper on board,117,"Sotheby's London, New Bond Street","02/06/2001
                ",sold,19.0,12.0
Voiliers,1106000,1000000,1500000,Signed Lower Right,44.15 x 66.04,1870,Oil / Canvas,13,"Christie's New York, Rockefeller Center","11/08/2000
                ",sold,66.04,44.15
Iris,1656000,600000,800000,Stamped,120.65 x 100.33,1914-1917,Oil / Canvas,26,"Christie's New York, Rockefeller Center","11/08/2000
                ",sold,100.33,120.65
Bennecourt,1216000,1400000,1800000,Signed Lower Right,74.30 x 74.30,1885,Oil / Canvas,29,"Christie's New York, Rockefeller Center","11/08/2000
                ",sold,74.3,74.3
"Mont Kolsaas, temps brumeux",941000,800000,1000000,Signed and Dated,65.41 x 100.97,1895,Oil / Canvas,35,"Christie's New York, Rockefeller Center","11/08/2000
                ",sold,100.97,65.41
Arbres fruitiers,220000,75000,95000,Unavailable,22.86 x 27.94,nogiven,Pastel / Paper,113,        26,"05/11/2000
                ",sold,27.94,22.86
La cabane de douaniers pres de Pourville,180000,200000,300000,Signed,22.86 x 27.94,1890,Crayon / Paper,18,Sotheby's New York,"05/10/2000
                ",sold,27.94,22.86
Ferme Normande sous les arbres,170000,100000,150000,Signed,33.02 x 22.86,nogiven,Pastel / Paper,316,"Christie's New York, Rockefeller Center","05/09/2000
                ",sold,22.86,33.02
Etude de Pourville,23150,29770,41350,Unavailable,26.00 x 39.00,1882,Charcoal,814,"Christie's London, King Street","07/01/1999
                ",sold,39.0,26.0
